Año,Producto,Produccion_Real,Produccion_Predicha,Area_Cosechada,Rendimiento,Error_Absoluto,Error_Porcentual
2017,Alcachofas,223150.0,217322.1879137635,16403.0,13604.2,5827.8120862364885,2.611611958878104
2018,Alcachofas,208460.0,212107.61503832115,15580.0,13380.0,3647.6150383211498,1.749791345256236
2019,Alcachofas,199940.0,205865.33145334737,14490.0,13798.5,5925.331453347375,2.963554793111621
2020,Alcachofas,196970.0,196580.2080602682,13760.0,14314.7,389.7919397318037,0.19789406494989276
2021,Alcachofas,214560.0,201676.8733409914,14800.0,14497.3,12883.126659008587,6.0044400908876705
2022,Alcachofas,200070.0,186583.67464911257,14530.0,13769.4,13486.325350887433,6.740803394255727
2023,Alcachofas,182580.0,179403.6080373124,12800.0,14264.1,3176.3919626876013,1.7397261270060256
1963,Algarrobas,346000.0,350001.2051204769,156600.0,2209.5,4001.205120476894,1.1564176648777151
1964,Algarrobas,379100.0,353104.5317120388,143200.0,2647.3,25995.46828796121,6.857153333674811
1965,Algarrobas,395300.0,361613.06955246173,146800.0,2692.8,33686.93044753827,8.521864519994502
1966,Algarrobas,336900.0,360731.8300871304,159000.0,2118.9,23831.830087130424,7.073858737646312
1967,Algarrobas,315700.0,344600.01413465355,159200.0,1983.0,28900.014134653553,9.154264851014746
1968,Algarrobas,289600.0,288195.86358477344,120600.0,2401.3,1404.1364152265596,0.4848537345395578
1969,Algarrobas,313800.0,291107.1082223419,152200.0,2061.8,22692.89177765808,7.231641739215449
1970,Algarrobas,299600.0,282446.853379204,160200.0,1870.2,17153.146620796004,5.725349339384514
1971,Algarrobas,251500.0,263496.33144949505,156200.0,1610.1,11996.331449495046,4.769913101190873
